Study 1,Study 2,description
caseid,hashID,Anonymous ID
Treated,Treated,Indicator for treatment group
weight_w2,x,"Survey weight, adjusted for drop-out in wave 2"
Salience_1,Salience_1,"Outcome variable wave 1, top 1 issue facing the country"
Salience_2,Salience_2,"Outcome variable wave 1, top 2 issue facing the country"
Salience_3,Salience_3,"Outcome variable wave 1, top 3 issue facing the country"
SalienceClim_any,SalienceClim_any,"Outcome variable wave 1, climate or environment present anywhere in top 3"
Concern_humanity,Concern_humanity,"Outcome variable wave 1, Concern, Climate change is one of the greatest threats facing humanity"
Concern_myself,Concern_myself,"Outcome variable wave 1, Concern, I worry about the effects of climate change in my lifetime in this country"
Concern,Concern,"Outcome variable wave 1, Concern, scale based on two items above"
Govt,Govt,"Outcome variable wave 1, Government dissatisfaction"
Highway,x,"Outcome variable wave 1, Highway building opposition"
x,Nonewoil,"Outcome variable wave 1, New oil opposition"
Policy_tax,Policy_tax,"Outcome variable wave 1, Policy, A tax on high-climate-impact products like airplane tickets or beef"
Policy_goal,Policy_goal,"Outcome variable wave 1, Policy, A national reduction target for the climate impact of citizens’ combined consumption"
Policy,Policy,"Outcome variable wave 1, Policy, scale based on two items above"
x,Fossilinv,"Outcome variable wave 1, Regulations making it more difficult to profit from fossil fuel investments"
Behavior_donate,Behavior_donate,"Outcome variable wave 1, Behavior, Donate"
Behavior_march,Behavior_march,"Outcome variable wave 1, Behavior, Go on protest march"
Behavior,Behavior,"Outcome variable wave 1, Behavior, scale based on two items above"
Salience_1_w2,Salience_1_w2,"Outcome variable wave 2, top 1 issue facing the country"
Salience_2_w2,Salience_2_w2,"Outcome variable wave 2, top 2 issue facing the country"
Salience_3_w2,Salience_3_w2,"Outcome variable wave 2, top 3 issue facing the country"
SalienceClim_any_w2,SalienceClim_any_w2,"Outcome variable wave 2, climate or environment present anywhere in top 3"
Concern_humanity_w2,Concern_humanity_w2,"Outcome variable wave 2, Concern, Climate change is one of the greatest threats facing humanity"
Concern_myself_w2,Concern_myself_w2,"Outcome variable wave 2, Concern, I worry about the effects of climate change in my lifetime in this country"
Concern_w2,Concern_w2,"Outcome variable wave 2, Concern, scale based on two items above"
Govt_w2,Govt_w2,"Outcome variable wave 2, Government dissatisfaction"
Highway_w2,x,"Outcome variable wave 2, Highway building opposition"
x,Nonewoil_w2,"Outcome variable wave 2, New oil opposition"
Policy_tax_w2,Policy_tax_w2,"Outcome variable wave 2, Policy, A tax on high-climate-impact products like airplane tickets or beef"
Policy_goal_w2,Policy_goal_w2,"Outcome variable wave 2, Policy, A national reduction target for the climate impact of citizens’ combined consumption"
Policy_w2,Policy_w2,"Outcome variable wave 2, Policy, scale based on two items above"
x,Fossilinv_w2,"Outcome variable wave 2, Regulations making it more difficult to profit from fossil fuel investments"
Behavior_donate_w2,Behavior_donate_w2,"Outcome variable wave 2, Behavior, Donate"
Behavior_march_w2,Behavior_march_w2,"Outcome variable wave 2, Behavior, Go on protest march"
Behavior_w2,Behavior_w2,"Outcome variable wave 2, Behavior, scale based on two items above"
SalienceClim_any_diff,SalienceClim_any_diff,"Outcome variable first-differenced, climate or environment present anywhere in top 3"
Concern_humanity_diff,Concern_humanity_diff,"Outcome variable first-differenced, Concern, Climate change is one of the greatest threats facing humanity"
Concern_myself_diff,Concern_myself_diff,"Outcome variable first-differenced, Concern, I worry about the effects of climate change in my lifetime in this country"
Concern_diff,Concern_diff,"Outcome variable first-differenced, Concern, scale based on two items above"
Govt_diff,Govt_diff,"Outcome variable first-differenced, Government dissatisfaction"
Highway_diff,x,"Outcome variable first-differenced, Highway building opposition"
x,Nonewoil_diff,"Outcome variable first-differenced, New oil opposition"
Policy_tax_diff,Policy_tax_diff,"Outcome variable first-differenced, Policy, A tax on high-climate-impact products like airplane tickets or beef"
Policy_goal_diff,Policy_goal_diff,"Outcome variable first-differenced, Policy, A national reduction target for the climate impact of citizens’ combined consumption"
Policy_diff,Policy_diff,"Outcome variable first-differenced, Policy, scale based on two items above"
x,Fossilinv_w2,"Outcome variable first-differenced, Regulations making it more difficult to profit from fossil fuel investments"
Behavior_donate_diff,Behavior_donate_diff,"Outcome variable first-differenced, Behavior, Donate"
Behavior_march_diff,Behavior_march_diff,"Outcome variable first-differenced, Behavior, Go on protest march"
Behavior_diff,Behavior_diff,"Outcome variable first-differenced, Behavior, scale based on two items above"
Manipulation_correct,Manipulation_correct,Manipulation check hand coded as correct
FT_next_block,x,"Moderator, Voting intention in next parliamentary election (Folketingsvalg or FT), by party bloc"
x,Next_elect_wing,"Moderator, Voting intention in next parliamentary election, by party wing"
x,Ideology,"Moderator, five-point left-right ideology"
x,Ideology3,"Moderator, three-point left-right ideology"
gender,Sex,"Moderator, Respondent’s gender"
age,Age,"Moderator, Respondent’s age in years"
region,x,"Demographic, Respondent’s region"
profile_age_rec,x,"Demographic, Respondent’s age recoded into blocks"
hovedstaden,x,"Demographic, Respondent’s residence in capital region"
x,Ethnicity.simplified,"Demographic, Respondent’s ethnicity"
FT_next,x,"Demographic, Voting intention in next parliamentary election (Folketingsvalg or FT)"
x,Party,"Demographic, Voting intention in next parliamentary election"
